Paper ID,Explanation ID,Display (modality),Display (more specific),"Explanation Focus (Input, Process, Output)",Expl. Approach,Interactivity,Interaction type,"Explanation Type (local, pairwise, top-n, global)",Model-instrinsic or Post-hoc?,Content Category,Content Code
56,56.01,hybrid,textual and visual,Output,Doctor XAI (highlights which conditions in clinical history of the patients were deemed most important by AI - removal-based explanation type),no,none,local,unclear,items and their features,Decisive features
61,61.01,hybrid,numerical and textual: with visual color codes and highlights,input and output,basic explanation: user's top 5 interests ordered by weight impacting the recommendations,yes,"overall: on-demand explanations, level of explanation detail can be selected. Basic explanation: interests can be deleted/added",local,unclear (explanation generation approach not mentioned),User preferences and input,Decisive input values
61,61.02,visual,heatmap,input and output,intermediate explanation: results of computed similarity scores,yes,"overall: on-demand explanations, level of explanation detail can be selected",local,unclear (explanation generation approach not mentioned),Decision inference process,Decision method side-outcomes
61,61.03,visual,process model,input and process,advanced explanation: content-based,yes,"overall: on-demand explanations, level of explanation detail can be selected",global,unclear (explanation generation approach not mentioned),Decision inference process,Inference and domain knowledge
62,62.01,textual,"one-sided, not context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.02,textual,"two-sided, not context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.03,textual,"one-sided, not context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.04,textual,"two-sided, not context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.05,textual,"one-sided, not context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.06,textual,"two-sided, not context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.07,textual,"one-sided, context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.08,textual,"two-sided, context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.09,textual,"one-sided, context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.10,textual,"two-sided, context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.11,textual,"one-sided, context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.12,textual,"two-sided, context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.13,audio,"vocal, one-sided, not context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.14,audio,"vocal, two-sided, not context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.15,audio,"vocal, one-sided, not context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.16,audio,"vocal, two-sided, not context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.17,audio,"vocal, one-sided, not context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.18,audio,"vocal, two-sided, not context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.19,audio,"vocal, one-sided, context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.20,audio,"vocal, two-sided, context relevant, 2 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.21,audio,"vocal, one-sided, context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.22,audio,"vocal, two-sided, context relevant, 3 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
62,62.23,audio,"vocal, one-sided, context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),User preferences and input,Preference match
62,62.24,audio,"vocal, two-sided, context relevant, 4 features",output,feature-based ,no,none,local,unclear (model not described),items and their features,Pros and Cons
63,63.01,textual,color-coded,output,MTL: based on nutritional information,no,none,local,post-hoc,items and their features,Decisive features
63,63.02,textual,color-coded,output,NutriScore: based on nutritional information,no,none,local,post-hoc,items and their features,Decisive features
64,64.01,hybrid,textual and vocal,output,conversational explanation. belief-based,yes,response to conversational explanation,local,unclear (explanation generation approach not mentioned),User preferences and input,Preference match
64,64.02,hybrid,textual and vocal,output,conversational explanation. goal-based,yes,response to conversational explanation,local,unclear (explanation generation approach not mentioned),Background and complementary information,Background data
64,64.03,hybrid,textual and vocal,output,conversational explanation. belief- and goal-based,yes,response to conversational explanation,local,unclear (explanation generation approach not mentioned),Background and complementary information + User preferences and input,Background data + Preference match
67,67.01,hybrid,textual and vocal,output,"conversational explanation, belief-based",yes,response to conversational explanation,local,unclear (explanation generation approach not mentioned),items and their features + User preferences and input,Decisive features + Preference match
67,67.02,hybrid,textual and vocal,output,"conversational explanation, goal-based",yes,response to conversational explanation,local,unclear (explanation generation approach not mentioned),items and their features + User preferences and input,Decisive features + Preference match
82,82.01,hybrid,wordcloud with textual tooltip when hovering over interest,Input,basic explanation through displaying source by hovering over interest in wordcloud,yes,"on-demand drill-down explanations: user can decide if they want to see explanations and what level of detail these should be. clicking on one interest gets the user one level deeper
hovering over word shows source (i.e., either from user's publications or manually added)",local,unclear,Decision inference process,Inference trace
82,82.02,textual,"publications from which an interest was extracted, highlighting the selected interest in the title/abstract of these publications, and disclosing the name of the extraction algorithm",Input,intermediate explanation,yes,on-demand drill-down explanations: user can decide if they want to see explanations and what level of detail these should be,local,unclear,Decision inference process,Inference and domain knowledge
82,82.03,hybrid,textual with visual elements (flowchart),Process,advanced explanation,no,-,global,unclear,Decision inference process,Inference and domain knowledge
83,83.01,visual,Sankey Diagram,Output,Answering “Why take this action? Why not take this other action? When is this action taken?” Explaining external behaviour to end-users (non-experts) by highlighting state features,yes,question-answering dialogue,local,post-hoc,items and their features + Decision inference process,Feature-based domination + Inference trace
83,83.02,textual,baseline from B. Hayes and J. A. Shah. Improving robot controller transparency through autonomous policy explanation.,Output,natural language generation approach that supports why and why not explanations,no,none,-,-,items and their features,Decisive features + Feature-based domination
85,85.01,textual,,Output,Case-based Explanation presents a case from the model’s training data which is most similar to the users.,no,none,local,-,Background and complementary information,Knowledge about similar items
85,85.02,textual,,Input,"Demographic-based Explanation presents aggregate demographic statistics, such as age, gender, income level or occupation, regarding the structure of the training data and/or the distribution of the outcome.",no,none,global,-,items and their features + Decision inference process,Decisive features + Inference trace
85,85.03,textual,,Input,Input Influence-based Explanation presents the influence of various input features (Decisive input values) on the decision by quantitative measures.,no,none,global,-,items and their features + Decision inference process,Pros and Cons + Inference trace
85,85.04,textual,,Output,Sensitivity-based Explanation presents sensitivity analysis that shows how various changes in the input features values will modify the outcome.,no,none,counterfactual,-,Background and complementary information,Knowledge about similar items
85,85.05,textual,,not an explanation of the system,Certification-based which presents the results of an invited auditing process of the system,no,none,not an explanation of the system,not an explanation of the system,Baseline*,Compliance with regulations
88,88.01,textual,"Three sentences: one sentence on the welcome page, one on the loading page, and one on the results page",Output and Process,Explaining the general concept behind collaborative filtering recommendations,no,none,top-n and global,- (mockup),Decision inference process,Inference and domain knowledge
88,88.02,textual,"Three sentences: one sentence on the welcome page, one on the loading page, and one on the results page",Output and Process,Explaining the general concept behind content-based recommendations,no,none,top-n and global,- (mockup),Decision inference process,Inference and domain knowledge
88,88.03,textual,"Three sentences: one sentence on the welcome page, one on the loading page, and one on the results page",Output and Process,Explaining the general concept behind demographic filtering recommendations,no,none,top-n and global,- (mockup),Decision inference process,Inference and domain knowledge
89,89.01,textual,,output,mockup explanation,no,none,local,mockup,Background and complementary information,Knowledge about peers
92,92.01,textual,,Output,reasons for recommendations based on how they generated the recommendations: item-to-item CF with self-referencing,no,none,local,model-intrinsic,Background and complementary information,Knowledge about similar items
92,92.02,textual,,Output,"reasons for recommendations based on how they generated the recommendations: user-to-user collaborative filtering with social presence, similar users",no,none,local,model-intrinsic,Decision inference process,Inference and domain knowledge
92,92.03,textual,,Output,reasons for recommendations based on how they generated the recommendations: hybrid user to user and item to item collaborative filtering with social presence and self-referencing,no,none,local,model-intrinsic,Background and complementary information,Knowledge about similar items
99,99.01,hybrid,"textual and visual: grouped bar chart, scatter plot",Output,shows topic distribution of the selected course,yes,explanation on-demand when clicked on node,global,model-intrinsic,items and their features + Decision inference process,Decisive features + Inference and domain knowledge
100,100.01,textual,a couple of sentences mentioning why a movie was recommended; similar movies are also provided,Output,feature-based,yes,on-demand explanations,local,model-intrinsic,Decision inference process + User preferences and input,Inference and domain knowledge + Preference match
100,100.02,hybrid,textual and visual: bar chart similar to a progress bar,Output,demographic-based,yes,on-demand explanations,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about the community + Preference match
100,100.03,textual,a couple of sentences mentioning why a movie was recommended; information about directors and actors,Output,knowledge-based,yes,on-demand explanations,local,model-intrinsic,User preferences and input,Preference match
100,100.04,hybrid,textual and visual: bar chart,Output,collaborative filtering-based,yes,on-demand explanations,local,model-intrinsic,Background and complementary information + User preferences and input,Knowledge about the community + Preference match
101,101.01,hybrid,visual and textual,Output,list common properties of recommended item and similar item from user history,yes,feedback on the explanations,local,unclear,User preferences and input,Preference match
102,102.01,textual,,Output,"comparative explanations, template based, reference item from user history",no,none,local,post-hoc,items and their features,Feature-based domination
103,103.01,textual,"comparative explanations, Description Strategy",Output,"template based. no user features, recipe desription",no,none,local,post-hoc,items and their features,Decisive features
103,103.02,textual,"single explanation, description strategy",Output,"template based. no user features, recipe desription",no,none,local,post-hoc,items and their features,Decisive features
103,103.03,textual,"comparative explanations, popularity strategy",Output,"template based. no user features, recipe popularity",no,none,local,post-hoc,Background and complementary information,Knowledge about the community
103,103.04,textual,"single explanations, popularity strategy",Output,"template based. no user features, recipe popularity",no,none,local,post-hoc,Background and complementary information,Knowledge about the community
103,103.05,textual,"comparative explanations, user skills strategy",Output,"template based. cooking experience, level of difficulty",no,none,local,post-hoc,User preferences and input,Preference match
103,103.06,textual,"single explanations, user skills strategy",Output,"template based. cooking experience, level of difficulty",no,none,local,post-hoc,User preferences and input,Preference match
103,103.07,textual,"comparative explanations, food goals strategy",Output,"template based. diet goals, calories",no,none,local,post-hoc,items and their features + User preferences and input,Feature-based domination + Preference match
103,103.08,textual,"single explanations, food goals strategy",Output,"template based. diet goals, calories",no,none,local,post-hoc,items and their features,Feature-based domination
103,103.09,textual,"comparative explanations, user lifestyle strategy",Output,"template based. personal lifestyle, fsa healthy score",no,none,local,post-hoc,Background and complementary information + User preferences and input,Background data + Preference match
103,103.10,textual,"single explanations, user lifestyle strategy",Output,"template based. personal lifestyle, fsa healthy score",no,none,local,post-hoc,items and their features + Background and complementary information,Feature-based domination + Background data
103,103.11,textual,"comparative explanations, food features strategy",Output,"template based. preferences and restrictions, nutritional information, ingredients",no,none,local,post-hoc,items and their features,Pros and Cons
103,103.12,textual,"single explanations, food features strategy",Output,"template based. preferences and restrictions, nutritional information, ingredients",no,none,local,post-hoc,items and their features,Feature-based domination
103,103.13,textual,"comparative explanations, health risks strategy",Output,"template based. bmi, mood, sleep, stress, physical activity, nutritional information, ingredients",no,none,local,post-hoc,items and their features + Background and complementary information,Pros and Cons + Background data
103,103.14,textual,"single explanations, health risks strategy",Output,"template based. bmi, mood, sleep, stress, physical activity, nutritional information, ingredients",no,none,local,post-hoc,items and their features + Background and complementary information,Feature-based domination + Background data
103,103.15,textual,"comparative explanations, health benefits strategy",Output,"template based. bmi, mood, sleep, stress, physical activity, nutritional information, ingredients",no,none,local,post-hoc,items and their features + Background and complementary information,Pros and Cons + Background data
103,103.16,textual,"single explanations, health benefits strategy",Output,"template based. bmi, mood, sleep, stress, physical activity, nutritional information, ingredients",no,none,local,post-hoc,items and their features + Background and complementary information,Pros and Cons + Background data
104,104.01,textual,,Output,placebo explanation,no,none,local,-,User preferences and input,Decisive input values
104,104.02,visual,bar chart,Output,feature-based explanation highlighting 4 aspects of a patients' medical history that contributed to the ml prediction,no,none,local,- (simulated explanations and recommendations),User preferences and input,Decisive input values
104,104.03,textual,,Input and Output,heuristic-based explanation: shows relevant prescription heuristics for relevant aspects of a patients' history. Curated by domain experts,no,none,local,- (simulated explanations and recommendations),User preferences and input,Feature importance analysis
105,105.01,visual,bar chart,Output,visualizes energy and valence of a recommended track as well as user's average preferences over these features,no,none,local,post-hoc,User preferences and input,Preference match
105,105.02,visual,contour plot,Output,"Combination of scatter and contour plot. Recommended tracks visualized with scatter plot, user's top tracks and genre profile visualized with contour",yes,adapt recommendations through mood-slider,top-n,post-hoc,User preferences and input,Preference match
106,106.01,textual,,output,"global norm explanation: “X% of users perform this measure.”, justifications, nudges",no,none,local,post-hoc,Background and complementary information,Knowledge about the community
106,106.02,textual,,output,"similar norm explanation: “Y% of users who perform similar measures as you, perform this measure.”, justifications, nudges",no,none,local,post-hoc,Background and complementary information + Decision inference process,Knowledge about the community + Inference and domain knowledge
106,106.03,textual,,output,"experienced norm explanation:  “Z% of users who perform more measures than you, perform this measure.”, justifications, nudges",no,none,local,post-hoc,Background and complementary information,Knowledge about the community
106,106.04,numerical,,output,savings score baseline: number between 0 and 100 where 100 is the highest possible kwh saving,no,none,local,post-hoc,items and their features,Impact of following recommendation*
107,107.01,textual,-,output,counterfactual: set fo minimal actions performed by the user that if removed changes the recommendation to a different item,yes,? (counterfactual on user's actions to provide agency),local,post-hoc (but causality),Decision inference process,Inference and domain knowledge
108,108.01,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = effectiveness) pairs",no,none,local,not specific,User preferences and input,Preference match
108,108.02,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = efficiency) pairs",no,none,local,not specific,items and their features,Decisive features
108,108.03,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = persuasiveness) pairs",no,none,local,not specific,Background and complementary information,Background data
108,108.04,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = satisfaction) pairs",no,none,local,not specific,User preferences and input,Preference match
108,108.05,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = scrutability) pairs",no,none,local,not specific,items and their features,Decisive features
108,108.06,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = transparency) pairs",no,none,local,not specific,User preferences and input,Decisive input values
108,108.07,textual,-,output,"crowdworkers generating explanations for (test subject, explanation goal = trust) pairs",no,none,local,not specific,User preferences and input,Preference match
108,108.08,textual,-,output,"baseline explanation: a synopsis of the movie (limited to 500 characters) taken from the information panel of a major web search engine. Thus it is not personalized to the user, and usually consists of basic metadata about the movie recommended. They are usually written by human experts per movie. As such they are likely to have high quality.",no,none,local,not specific,Background and complementary information,Background data
109,109.01,audio,-,Output,"10-second MIDI segment that represents the most important part of the song for the user. ""[...] we sample 10-s segments from the recommended song array xs using a sliding window of 1 s. Then, we input the segments along with the user’s latent vector Uu to the trained model to predict a rating for each segment. Finally, the segment with the highest predicted rating is selected as the explanation for the song recommendation.""",no,none,local,post-hoc,User preferences and input,Preference match
109,109.02,audio,-,output,baseline: random 10-second segment of the song,no,none,local,post-hoc,Baseline*,Random feature
110,110.01,visual,"four explanation interfaces through color-coordinated buttons. Each interface focuses on explaining the recommendation score delivered by the corresponding component of the hybrid engine: (a) two-way bar chart (for Publication similarity) showed the mutual relationship between two scholars publication terms and term frequency; (b) topical radar (for Topic Similarity) presented the top topics of the user and compared them with the selected attendee; (c) strength graph (for Co-Authorship similarity) explained the strength of social connections by presenting the co-authorship network connecting the recommended attendee to the target user (nodes and edges are representing authors and co-authorship, respectively); (d) Venn tags (for CN3 Interest similarity) visualized the similarity of co-bookmarked, or co-followed item in the form of a Venn diagram.",Output,calculated relevance for the selected recommendation engine,yes,"on-demand explanation, select different explanation interfaces, inspect the static colored stackable bar to understand the fused relevance score in a multi-relevance context, influence the fusion by changing the weights and observing the immediate changes of the colored relevance bars and item ranking",local,,User preferences and input,Feature importance analysis
111,111.01,textual,,Process,High-level explanation of a parameter that can be adjusted by the user,yes,adjusting parameter value on a slider and seeing how recommendations change,global,unclear,Decision inference process,Inference and domain knowledge
112,112.01,visual,bar chart showing the estimated carbohydrate reduction and flavor similarity.,Output,simulated. Explanation shows carb reduction and flavor similarity to explain why this ingredient should be added to meal.,no,None,local,-,items and their features,Decisive features
