Paper ID,Hypothesis ID,Hypothesis,Dependent Variable,Sub-Sub-Category,Sub-Category,Main DV Category,Effect On,subj/obj evaluation,Independent Variable (evaluated),Independent Variables (compared),Comparison Type,Result,Explanation ID Evaluated,Explanation ID Compared,Related user study ID,"Explanation Modalities evaluated (display, focus, interactivity, explanation type)","Explanation Generation Evaluated (generation approach (intrinsic/post-hoc), data type, recommender model type, recommendation problem)","Explanation Modalities Compared (display, focus, interactivity, explanation type)","Explanation Generation Compared (generation approach (intrinsic/post-hoc), data type, recommender model type, recommendation problem)"
4,4.010,XRSAA assisted brick-and-mortar shopping leads to a higher purchase intention than unassisted brick-and-mortar shopping.,self-reported purchase intention,,likelihood to follow recommendation,persuasiveness,user,subj,XRSAA assisted shopping using explainable recommendations,unassisted shopping,no explanation,not found,4.01,-,4.1,"hybrid, output, static, local",not mentioned/mockup,-,-
3,3.001, the  reported  relevance of  the one-sided explanation condition was significantly higher than the (reported relevance of) reciprocal explanation condition,explanation relevance,,relevance,user perception of explanation quality,system,subj,one-sided explanation,reciprocal explanation,internal explanation,found,3.02,3.01,3.1,-,-,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal"
3,3.002,"participants in the one-sided explanation condition were more satisfied with the recommendations and trusted the system more, compared to the reciprocal explanation condition.",recommendation satisfaction,recommendation satisfaction (subjective),recommender satisfaction,satisfaction,user,subj,one-sided explanation,reciprocal explanation,internal explanation,found,3.02,3.01,3.1,-,-,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal"
3,3.003,"participants in the one-sided explanation condition were more satisfied with the recommendations and trusted the system more, compared to the reciprocal explanation condition.",trust in system,trust in system,cognitive trust,trust,user,subj,one-sided explanation,reciprocal explanation,internal explanation,found,3.02,3.01,3.1,-,-,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal"
3,3.004,"the reciprocal explanation condition would outperform the one-sided explanation condition, since we believed that reciprocal explanations would decrease the participants’ uncertainty and reduce concerns regarding the cost",decrease user uncertainty,trust in system,cognitive trust,trust,user,subj,reciprocal explanation with added costs/incentives),one-sided explanation with added costs/incentives,internal explanation,found,3.01,3.02,3.2,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal",-,-
3,3.006,the acceptance of the reciprocal explanation condition was reported to be significantly higher than the one-sided condition,explanation acceptance,(subjective),relevance,user perception of explanation quality,system,subj,reciprocal explanation with added costs/incentives),one-sided explanation with added costs/incentives,internal explanation,found,3.01,3.02,3.2,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal",-,-
3,3.007,participants’ trust in the system was found to be higher under the reciprocal explanation condition.,trust in system,trust in system,cognitive trust,trust,user,subj,reciprocal explanation with added costs/incentives),one-sided explanation with added costs/incentives,internal explanation,found,3.01,3.02,3.2,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal",-,-
3,3.008,the reciprocal explanation condition will have a higher acceptance rate,explanation acceptance,(subjective),relevance,user perception of explanation quality,system,subj,reciprocal explanation,one-sided explanation,internal explanation,found,3.01,3.02,3.3,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal",-,-
3,3.009,for women we find an average acceptance rate of 39% under the reciprocal explanation condition while only 25% under the one-sided explanations condition.,explanation acceptance from women,(subjective),relevance,user perception of explanation quality,system,subj,reciprocal explanation,one-sided explanation,user characteristics,found,3.01,3.02,3.3,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal",-,-
3,3.010,The results show that the participants under the reciprocal  explanations condition logged-in significantly more often than those under the one-sided explanations,user engagement,general measures (objective),engagement,other,user + system,obj,reciprocal explanation,one-sided explanation,internal explanation,found,3.01,3.02,3.3,"textual, output, static, local","post-hoc, interaction data + user features, hybrid, reciprocal",-,-
8,8.002,does users’ judgement toward explanation quality aligns more with IDF- BLEU than BLEU,alignment of explanation quality judgement,(subjective),general explanation quality,user perception of explanation quality,system,subj,IDF-BLEU,BLEU,internal explanation,found,8.01,8.01,8.1,"textual, output, static, local","post-hoc, reviews, model-agnostic, top-k","textual, output, static, local","post-hoc, reviews, model-agnostic, top-k"
8,8.003,can users better perceive the comparative ranking from our explanations than the baselines’.,perception of the ranking,general performance/accuracy (subjective),recommendation quality,Interface Quality,system,subj,comparative explanations,baseline,external explanation,found,8.01,-,8.1,"textual, output, static, local","post-hoc, reviews, model-agnostic, top-k",-,-
8,8.004, do users find our comparative explanations more helpful than the baselines’,explanation helpfulness,-,-,user perception of explanation quality,system,subj,comparative explanations,baseline,external explanation,found,8.01,-,8.1,"textual, output, static, local","post-hoc, reviews, model-agnostic, top-k",-,-
11,11.001,"Regarding the other objective measures, it shows users took significantly less time and interaction cycles in using Senti-ORG (3.71 mins vs. 5.67 mins in Pref-ORG, t=5.19, p < 0.01; 0.79 vs. 1.74 in Pref-ORG, t=3.91, p<0.01), which should be because they already gained certain familiarity with the products when they used the first system Pref-ORG, so the time and cycles consumed in revising their preferences in Senti-ORG were shortened.",objective effectiveness,-,explanation effectiveness,effectiveness,user,obj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.002," It shows their product knowledge is significantly increased after using Senti-ORG (mean  =  3.88  vs.3.64 initially, t=−2.68, p=0.01), but not after Pref-ORG (3.74 vs. 3.64 initially, t=−1.43, p=0.16).",perceived product knowledge,usefulness of information,information quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.004,"Other significant differences between Senti-ORG and Pref-ORG are found with respect to users’ perceived information usefulness, i.e., whether the system helps them discover useful product information (4.33 vs. 4, t=−2.396 ,p=0.02), recommendation transparency (4.07 vs.3.86, t=−2.04, p=0.048), recommendation quality (4.33vs. 4.095, t=−1.95, p=0.058), and recommendation novelty (4.40 vs.  4.14, t=−2.55, p=0.01). ",perceived information usefulness of system,usefulness of information,information quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.010,"Other significant differences between Senti-ORG and Pref-ORG are found with respect to users’ perceived information usefulness, i.e., whether the system helps them discover useful product information (4.33 vs. 4, t=−2.396 ,p=0.02), recommendation transparency (4.07 vs.3.86, t=−2.04, p=0.048), recommendation quality (4.33vs. 4.095, t=−1.95, p=0.058), and recommendation novelty (4.40 vs.  4.14, t=−2.55, p=0.01). ",perceived recommendation transparency,-,transparency of recommendations,transparency,user + system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive ","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.011,"Other significant differences between Senti-ORG and Pref-ORG are found with respect to users’ perceived information usefulness, i.e., whether the system helps them discover useful product information (4.33 vs. 4, t=−2.396 ,p=0.02), recommendation transparency (4.07 vs.3.86, t=−2.04, p=0.048), recommendation quality (4.33vs. 4.095, t=−1.95, p=0.058), and recommendation novelty (4.40 vs.  4.14, t=−2.55, p=0.01). ",perceived recommendation quality,general performance/accuracy,recommendation quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.012,"Other significant differences between Senti-ORG and Pref-ORG are found with respect to users’ perceived information usefulness, i.e., whether the system helps them discover useful product information (4.33 vs. 4, t=−2.396 ,p=0.02), recommendation transparency (4.07 vs.3.86, t=−2.04, p=0.048), recommendation quality (4.33vs. 4.095, t=−1.95, p=0.058), and recommendation novelty (4.40 vs.  4.14, t=−2.55, p=0.01). ",perceived recommendation novelty,novelty,recommendation quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.005,"In terms of users’ purchase intention, it is also significantly higher in Senti-ORG than Pref-ORG (4.12 vs. 3.86,t=−2.05,p=0.047).",self-reported purchase intention,-,likelihood to follow recommendation,persuasiveness,user,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.1,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.006,"As for objective measures, in Senti-ORG, users consumed significantly longer time (7.26 mins vs.  5.03 mins in Pref-ORG, t=−2.83, p<0.01), evaluated more products in details (1.83 vs.  1.38, t=−2.02, p=0.048), and more frequently read products’ raw reviews (0.85 vs.  0.44, t=−1.96,p=0.055). ",decision efficiency,-,efficiency,efficiency,system,obj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.007,"In particular, their product knowledge level is significantly increased after using  Senti-ORG (3.52 vs.   3.29 initially, t=−2.198, p=0.03), but there is no significant improvement in Pref-ORG (3.62 vs. 3.52 initially, t=−1.22, p=0.23). ",perceived product knowledge,usefulness of information,information quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.008,"Users also perceived the product information provided in Senti-ORG more useful than in Pref-ORG (4.29 vs.3.90,t=−3.05,p<0.01), and Senti-ORG  more  competent in terms of recommendation transparency (4.04 vs. 3.69,t=−2.76,p<0.01) and explanatory ability (4.13 vs. 3.88,t=−2.095,p=0.04).",perceived system usefulness,system usefulness (subjective),other,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.013,"Users also perceived the product information provided in Senti-ORG more useful than in Pref-ORG (4.29 vs.3.90,t=−3.05,p<0.01), and Senti-ORG  more  competent in terms of recommendation transparency (4.04 vs. 3.69,t=−2.76,p<0.01) and explanatory ability (4.13 vs. 3.88,t=−2.095,p=0.04).",perceived recommendation transparency,-,transparency of recommendations,transparency,user + system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.014,"Users also perceived the product information provided in Senti-ORG more useful than in Pref-ORG (4.29 vs.3.90,t=−3.05,p<0.01), and Senti-ORG  more  competent in terms of recommendation transparency (4.04 vs. 3.69,t=−2.76,p<0.01) and explanatory ability (4.13 vs. 3.88,t=−2.095,p=0.04).",explanatory ability,(subjective),explanation quality,user perception of explanation quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.015,"Moreover, there are some marginally significant enhancements (0.05<p<0.1) obtained by Senti-ORG, as for users’ preference certainty (4 vs.  3.73 in Pref-ORG, t=−1.82, p=0.075), system trustworthiness (3.87vs. 3.69, t=−1.92, p=0.0598), perceived recommendation quality (4.04 vs. 3.83, t=−1.80, p=0.078), perceived recommendation novelty (4.23 vs.  3.96, t=−1.85, p=0.07), overall satisfaction (4.12 vs.  3.88, t=−1.73, p=0.0898), and purchase intention (3.96 vs. 3.75, t=−1.75, p=0.086).",perceived system trustworthiness,trust in system,cognitive trust,trust,user,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.016,"Moreover, there are some marginally significant enhancements (0.05<p<0.1) obtained by Senti-ORG, as for users’ preference certainty (4 vs.  3.73 in Pref-ORG, t=−1.82, p=0.075), system trustworthiness (3.87vs. 3.69, t=−1.92, p=0.0598), perceived recommendation quality (4.04 vs. 3.83, t=−1.80, p=0.078), perceived recommendation novelty (4.23 vs.  3.96, t=−1.85, p=0.07), overall satisfaction (4.12 vs.  3.88, t=−1.73, p=0.0898), and purchase intention (3.96 vs. 3.75, t=−1.75, p=0.086).",perceived recommendation quality,general performance/accuracy,recommendation quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.017,"Moreover, there are some marginally significant enhancements (0.05<p<0.1) obtained by Senti-ORG, as for users’ preference certainty (4 vs.  3.73 in Pref-ORG, t=−1.82, p=0.075), system trustworthiness (3.87vs. 3.69, t=−1.92, p=0.0598), perceived recommendation quality (4.04 vs. 3.83, t=−1.80, p=0.078), perceived recommendation novelty (4.23 vs.  3.96, t=−1.85, p=0.07), overall satisfaction (4.12 vs.  3.88, t=−1.73, p=0.0898), and purchase intention (3.96 vs. 3.75, t=−1.75, p=0.086).",perceived recommendation novelty,novelty,recommendation quality,Interface Quality,system,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.018,"Moreover, there are some marginally significant enhancements (0.05<p<0.1) obtained by Senti-ORG, as for users’ preference certainty (4 vs.  3.73 in Pref-ORG, t=−1.82, p=0.075), system trustworthiness (3.87vs. 3.69, t=−1.92, p=0.0598), perceived recommendation quality (4.04 vs. 3.83, t=−1.80, p=0.078), perceived recommendation novelty (4.23 vs.  3.96, t=−1.85, p=0.07), overall satisfaction (4.12 vs.  3.88, t=−1.73, p=0.0898), and purchase intention (3.96 vs. 3.75, t=−1.75, p=0.086).",system satisfaction,general system satisfaction,recommender satisfaction,satisfaction,user,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
11,11.019,"Moreover, there are some marginally significant enhancements (0.05<p<0.1) obtained by Senti-ORG, as for users’ preference certainty (4 vs.  3.73 in Pref-ORG, t=−1.82, p=0.075), system trustworthiness (3.87vs. 3.69, t=−1.92, p=0.0598), perceived recommendation quality (4.04 vs. 3.83, t=−1.80, p=0.078), perceived recommendation novelty (4.23 vs.  3.96, t=−1.85, p=0.07), overall satisfaction (4.12 vs.  3.88, t=−1.73, p=0.0898), and purchase intention (3.96 vs. 3.75, t=−1.75, p=0.086).",self-reported purchase intention,,likelihood to follow recommendation,persuasiveness,user,subj,Senti-ORG,Pref-ORG,internal explanation,found,11.01,11.02,11.2,"textual, output, static, top-k + contrastive","model-intrinsic, interactions + reviews, opinion mining + clustering",-,-
14,14.005,"Users showed the strongest preference for item average rating explanations, followed by user-based and social explanations",user preference of explanation,-,-,explanation preference,#N/A,subj,item average rating explanations,user-based,internal explanation,found,14.17,14.15,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.030,"Users showed the strongest preference for item average rating explanations, followed by user-based and social explanations",user preference of explanation,-,-,explanation preference,#N/A,subj,item average rating explanations,social explanations,internal explanation,found,14.17,14.13,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.006,"However, social, user-based, and item average rating were signicantly better than item-based and user average rating (∀p <0.05).",user preference of explanation,-,-,explanation preference,#N/A,subj,social,item-based,internal explanation,found,14.13,14.16,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.031,"However, social, user-based, and item average rating were signicantly better than item-based and user average rating (∀p <0.05).",user preference of explanation,-,-,explanation preference,#N/A,subj,social,user average rating,internal explanation,found,14.13,14.18,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.032,"However, social, user-based, and item average rating were signicantly better than item-based and user average rating (∀p <0.05).",user preference of explanation,-,-,explanation preference,#N/A,subj,user-based,item-based,internal explanation,found,14.15,14.16,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.033,"However, social, user-based, and item average rating were signicantly better than item-based and user average rating (∀p <0.05).",user preference of explanation,-,-,explanation preference,#N/A,subj,user-based,user average rating,internal explanation,found,14.15,14.18,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.034,"However, social, user-based, and item average rating were signicantly better than item-based and user average rating (∀p <0.05).",user preference of explanation,-,-,explanation preference,#N/A,subj,item average rating explanations,item-based,internal explanation,found,14.17,14.16,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.035,"However, social, user-based, and item average rating were signicantly better than item-based and user average rating (∀p <0.05).",user preference of explanation,-,-,explanation preference,#N/A,subj,item average rating explanations,user average rating,internal explanation,found,14.17,14.18,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.007,User-based and item average rating were signicantly better than content explanations (both p <0.05).,user preference of explanation,-,-,explanation preference,#N/A,subj,user-based,content explanation,internal explanation,found,14.15,14.14,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.036,User-based and item average rating were signicantly better than content explanations (both p <0.05).,user preference of explanation,-,-,explanation preference,#N/A,subj,item average rating explanations,content explanation,internal explanation,found,14.17,14.14,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.008,"A Tukey post-hoc test showed no statistical difference between social, user-based, and item average rating explanations (∀p >0.10)",user preference of explanation,-,-,explanation preference,#N/A,subj,social,user-based,internal explanation,not found,14.13,14.15,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.037,"A Tukey post-hoc test showed no statistical difference between social, user-based, and item average rating explanations (∀p >0.10)",user preference of explanation,-,-,explanation preference,#N/A,subj,social,item average rating explanation,internal explanation,not found,14.13,14.17,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
14,14.038,"A Tukey post-hoc test showed no statistical difference between social, user-based, and item average rating explanations (∀p >0.10)",user preference of explanation,-,-,explanation preference,#N/A,subj,user-based,item average rating explanation,internal explanation,not found,14.15,14.17,14.1,"textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned","textual, output, static, local","post-hoc, not mentioned, hybrid, not mentioned"
15,15.001,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,self-assessed likelihood to follow recommendation,-,likelihood to follow recommendation,persuasiveness,user,subj,individual explanation,no explanations,no explanation,found,15.05,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations",-,-
15,15.006,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,perceived usefulness of system,system usefulness (subjective),other,Interface Quality,system,subj,individual explanation,no explanations,no explanation,found,15.05,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.120,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,perceived efficiency,-,efficiency,efficiency,system,subj,individual explanation,no explanations,no explanation,found,15.05,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.007,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,self-reported retention,intention to return,behavioral trust,trust,user,subj,individual explanation,no explanations,no explanation,found,15.05,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.008,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,individual recommendation satisfaction,group recommendations (subjective),rs specific,other,user + system,subj,individual explanation,no explanations,no explanation,found,15.05,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.009,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,individual's assessment of recommendation appropriateness for group,group recommendations (subjective),rs specific,other,user + system,subj,individual explanation,no explanations,no explanation,found,15.05,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.010,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,self-assessed likelihood to follow recommendation,-,likelihood to follow recommendation,persuasiveness,user,subj,personality explanation,no explanation,no explanation,found,15.02,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.011,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,perceived system usefulness,system usefulness (subjective),other,Interface Quality,system,subj,personality explanation,no explanation,no explanation,found,15.02,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.012,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,perceived efficiency,-,efficiency,efficiency,system,subj,personality explanation,no explanation,no explanation,found,15.02,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.013,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,self-reported retention,intention to return,behavioral trust,trust,user,subj,personality explanation,no explanation,no explanation,found,15.02,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations",-,-
15,15.014,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,individual recommendation satisfaction,group recommendations,rs specific,other,user + system,subj,personality explanation,no explanation,no explanation,found,15.02,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.015,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,individual's assessment of recommendation appropriateness for group,group recommendations,rs specific,other,user + system,subj,personality explanation,no explanation,no explanation,found,15.02,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
15,15.016,Results (see Table 2) show that on average answers to all questions are higher in G2–G6 than in G1 and the difference is statistically significant (performing a Kruskal–Wallis H Test and pairwise Wilcoxon tests obtaining p-values < 0.05).,self-assessed likelihood to follow recommendation,-,likelihood to follow recommendation,persuasiveness,user,subj,tie-strength explanation,no explanation,no explanation,found,15.03,-,15.1,"textual, output, static, local","model-intrinsic, interactions + social connections, social recommendation model, social recommendations ",-,-
